Bandwidth,FileCount,AvgFileSize,BufSize,StartTime,CC_Level,P_Level,PP_Level,numActiveCores,frequency,AvgRtt,TotalAvgTput,TotalEnergy,DataTransferEnergy,TimeStamps,FileType
10,32,222.64,40,06-28-2021 04:29:04:856,1,1,1,2,1.4,30,403.1426237,11663.154,220.3905647,1,1
10,32,222.64,40,06-28-2021 04:31:46:249,1,1,1,2,1.6,30,402.9279043,11692.014,243.1527387,1,1
10,32,222.64,40,06-28-2021 04:34:27:557,1,1,1,2,1.8,30,403.54005,11760.456,328.9619646,1,1
10,32,222.64,40,06-28-2021 04:37:07:827,1,1,1,2,2,30,386.9240023,12307.591,385.1833788,1,1
10,32,222.64,40,06-28-2021 04:39:54:701,1,1,1,2,2.2,30,375.472174,12788.486,502.447262,1,1
10,32,222.64,40,06-28-2021 04:42:45:593,1,1,1,2,2.3,30,371.3704888,13009.339,587.6043368,1,1
10,32,222.64,40,06-28-2021 04:45:38:568,1,1,1,4,1.2,30,373.6318427,12611.23,264.6761281,1,1
10,32,222.64,40,06-28-2021 04:48:30:729,1,1,1,4,1.4,30,316.7124959,14893.866,328.4753453,1,1
10,32,222.64,40,06-28-2021 04:51:51:611,1,1,1,4,1.6,30,379.9261397,12479.229,337.2224555,1,1
10,32,222.64,40,06-28-2021 04:54:40:381,1,1,1,4,1.8,30,382.3152301,12430.678,364.6241235,1,1
10,32,222.64,40,06-28-2021 04:57:28:919,1,1,1,4,2,30,382.6873369,12614.675,560.3536495,1,1
10,32,222.64,40,06-28-2021 05:00:17:160,1,1,1,4,2.2,30,383.8006216,12547.892,528.4594767,1,1
10,32,222.64,40,06-28-2021 05:03:04:567,1,1,1,4,2.3,30,381.7291642,12766.826,682.1698949,1,1
10,32,222.64,40,06-28-2021 05:05:53:134,1,1,1,8,1.2,30,384.4202681,12216.787,216.728582,1,1
10,32,222.64,40,06-28-2021 05:08:40:783,1,1,1,8,1.4,30,382.8589455,12341.971,292.9755988,1,1
10,32,222.64,40,06-28-2021 05:11:28:199,1,1,1,8,1.6,30,385.3547408,12296.726,325.7673339,1,1
10,32,222.64,40,06-28-2021 05:14:15:004,1,1,1,8,1.8,30,384.9427162,12381.892,398.1201805,1,1
10,32,222.64,40,06-28-2021 05:17:01:940,1,1,1,8,2,30,384.506832,12577.928,580.5711505,1,1
10,32,222.64,40,06-28-2021 05:19:49:065,1,1,1,8,2.2,30,384.4895161,12585.051,587.2310245,1,1
10,32,222.64,40,06-28-2021 05:22:36:222,1,1,1,8,2.3,30,384.9476751,12635.216,651.5985559,1,1
10,32,222.64,40,06-28-2021 05:25:22:897,1,1,1,12,1.2,30,384.8237407,12262.601,275.20136,1,1
10,32,222.64,40,06-28-2021 05:28:10:333,1,1,1,12,1.4,30,383.4288077,12313.77,282.6821384,1,1
10,32,222.64,40,06-28-2021 05:30:58:055,1,1,1,12,1.6,30,383.6429436,12292.039,267.6664657,1,1
10,32,222.64,40,06-28-2021 05:33:45:336,1,1,1,12,1.8,30,385.027035,12372.692,391.5445614,1,1
10,32,222.64,40,06-28-2021 05:36:31:886,1,1,1,12,2,30,385.007192,12583.164,601.39906,1,1
10,32,222.64,40,06-28-2021 05:39:18:833,1,1,1,12,2.2,30,385.3100208,12606.984,634.6359558,1,1
10,32,222.64,40,06-28-2021 05:42:04:822,1,1,1,12,2.3,30,384.5959098,12733.29,738.7119066,1,1
10,32,222.64,40,06-28-2021 05:44:51:939,1,1,1,16,1.2,30,383.8104808,12357.622,338.4982274,1,1
10,32,222.64,40,06-28-2021 05:47:39:280,1,1,1,16,1.4,30,384.4227408,12290.199,290.2177697,1,1
10,32,222.64,40,06-28-2021 05:50:26:572,1,1,1,16,1.6,30,384.9551137,12360.623,377.2371189,1,1
10,32,222.64,40,06-28-2021 05:53:12:895,1,1,1,16,1.8,30,385.2479269,12518.69,544.412264,1,1
10,32,222.64,40,06-28-2021 05:55:59:819,1,1,1,16,2,30,384.6998861,12734.973,743.6367888,1,1
10,32,222.64,40,06-28-2021 05:58:46:879,1,1,1,16,2.2,30,386.5461151,12754.07,820.0070405,1,1
10,32,222.64,40,06-28-2021 06:01:32:887,1,1,1,16,2.3,30,386.358697,12805.983,866.1309652,1,1
10,32,222.64,40,06-28-2021 06:04:18:966,1,1,1,20,1.2,30,334.018619,14227.732,416.9280143,1,1
10,32,222.64,40,06-28-2021 06:07:29:417,1,1,1,20,1.4,30,384.432632,12356.277,356.681708,1,1
10,32,222.64,40,06-28-2021 06:10:16:681,1,1,1,20,1.6,30,384.8683479,12402.05,416.0397381,1,1
10,32,222.64,40,06-28-2021 06:13:02:879,1,1,1,20,1.8,30,385.0493609,12593.436,612.9832504,1,1
10,32,222.64,40,06-28-2021 06:15:49:765,1,1,1,20,2,30,383.7562616,12731.111,710.2890986,1,1
10,32,222.64,40,06-28-2021 06:18:36:809,1,1,1,20,2.2,30,385.1684759,12823.277,846.6064463,1,1
10,32,222.64,40,06-28-2021 06:21:22:765,1,1,1,20,2.3,30,385.8921917,12833.08,878.7938708,1,1
10,32,222.64,40,06-28-2021 06:24:08:831,1,1,1,24,1.2,30,385.8573115,12320.181,364.8142434,1,1
10,32,222.64,40,06-28-2021 06:26:55:191,1,1,1,24,1.4,30,385.1560647,12437.078,459.9443202,1,1
10,32,222.64,40,06-28-2021 06:29:41:927,1,1,1,24,1.6,30,385.976927,12474.381,522.7192516,1,1
10,32,222.64,40,06-28-2021 06:32:28:072,1,1,1,24,1.8,30,385.0419186,12528.622,547.9376874,1,1
10,32,222.64,40,06-28-2021 06:35:14:834,1,1,1,24,2,30,392.9249735,12533.204,792.882094,1,1
10,32,222.64,40,06-28-2021 06:37:57:831,1,1,1,24,2.2,30,430.5070586,11547.067,831.642986,1,1
